Date,Open,High,Low,Close,Volume
6-Apr-98,52.8733,52.9977,52.2512,52.7489,3679300
3-Apr-98,52.5623,52.9355,51.7225,52.0957,3106200
2-Apr-98,51.9091,53.091,51.7536,52.6556,3601300
1-Apr-98,51.6914,52.189,51.4115,51.9713,2639800
31-Mar-98,51.7536,52.2201,51.4426,51.6914,2538500
30-Mar-98,51.8158,52.189,51.0072,51.3804,1913700
27-Mar-98,52.3756,52.5001,51.6914,51.9402,2830700
26-Mar-98,52.6867,53.0599,52.2512,52.2823,2856700
25-Mar-98,52.2512,53.091,52.189,52.7489,6745200
24-Mar-98,50.8828,51.5981,50.8206,51.5048,2403700
23-Mar-98,50.5406,51.4426,50.4473,50.4473,3096800
20-Mar-98,51.256,51.3804,50.4784,50.7894,4107800
19-Mar-98,50.6028,51.256,50.4784,51.1938,2585000
18-Mar-98,50.0741,50.9139,50.043,50.5406,3594700
17-Mar-98,50.4162,50.665,49.5454,50.1985,3585100
16-Mar-98,49.6076,50.4473,49.3899,50.3851,3421200
13-Mar-98,50.1985,50.3229,49.2655,49.5765,2925300
12-Mar-98,49.3588,50.0741,48.8611,49.8875,2951700
11-Mar-98,48.7056,49.7009,48.4879,49.3277,3403400
10-Mar-98,48.4568,48.8611,48.1147,48.519,4167100
9-Mar-98,48.3324,48.8922,47.7104,47.8348,6464200
6-Mar-98,49.3277,49.6698,48.83,48.83,5205100
5-Mar-98,49.8564,49.9497,48.9233,49.2344,5362000
4-Mar-98,50.7583,51.4115,49.2655,49.2655,3007000
3-Mar-98,49.7631,51.0072,49.6698,50.8206,3970200
2-Mar-98,51.8469,52.0335,49.7631,50.7272,3490200
27-Feb-98,52.1579,52.5623,51.6914,51.9713,2945200
26-Feb-98,52.1268,52.6867,51.9091,52.5001,3214800
25-Feb-98,51.0383,52.3756,51.0072,52.3756,3848100
24-Feb-98,51.0694,51.1938,50.6339,51.0072,2572400
23-Feb-98,51.4737,51.7225,51.1627,51.1938,2626000
20-Feb-98,51.256,51.4737,50.5406,51.0694,3750800
19-Feb-98,51.256,52.0646,51.1316,51.1316,4276700
18-Feb-98,50.7583,51.567,50.4162,51.1316,3252300
17-Feb-98,51.2871,51.5981,50.5095,50.7583,3831800
13-Feb-98,51.1005,51.567,50.945,50.945,2244100
12-Feb-98,50.6961,51.3804,50.5406,51.1938,3626800
11-Feb-98,50.5717,51.3804,50.5095,51.1005,4207500
10-Feb-98,48.7989,50.9761,48.519,50.1985,8164300
9-Feb-98,48.83,49.5765,48.7678,48.7678,3448400
6-Feb-98,49.3277,49.5765,48.6434,48.7678,4082500
5-Feb-98,49.3276,49.5453,48.9543,49.5453,3776700
4-Feb-98,49.3276,49.6697,48.7988,48.9232,4284300
3-Feb-98,49.8252,49.8874,49.1098,49.452,3585600
2-Feb-98,49.763,50.385,49.763,50.0429,3437700
30-Jan-98,48.9232,49.5453,48.7677,49.1409,2900100
29-Jan-98,48.2701,49.4209,48.2701,48.861,4413600
28-Jan-98,48.3323,48.7677,48.0213,48.2701,5192400
27-Jan-98,48.1457,48.7055,47.5859,48.0213,7019700
26-Jan-98,49.3898,49.7319,48.7677,48.8299,2807900
23-Jan-98,49.6697,49.763,49.2343,49.3587,3911500
22-Jan-98,49.6697,50.074,49.0165,49.452,6583500
21-Jan-98,49.8874,50.7582,49.5764,49.8252,13907800
20-Jan-98,52.3444,53.9306,52.0956,53.9306,4970600
16-Jan-98,52.1889,52.3444,52.0023,52.2511,4189100
15-Jan-98,51.3492,52.22,50.9449,51.4736,6321700
14-Jan-98,51.5047,51.7535,50.385,51.0693,4275400
13-Jan-98,50.0429,50.976,49.9185,50.8204,3414500
12-Jan-98,48.8921,50.3228,48.5189,49.8252,6410700
9-Jan-98,51.909,52.1889,49.452,49.7941,7182800
8-Jan-98,51.5047,52.4999,51.2248,51.8468,4059400
7-Jan-98,52.2511,52.2511,51.0693,51.8779,4308200
6-Jan-98,52.4377,53.3397,52.2822,52.3755,3555600
5-Jan-98,52.5311,53.1531,52.2511,52.9665,5017000
2-Jan-98,52.0023,52.6244,51.7846,52.5622,2635000
31-Dec-97,51.7535,52.3444,51.3492,52.0645,2736500
30-Dec-97,51.598,52.4999,51.2248,51.3181,3558000
29-Dec-97,51.1937,51.598,51.1315,51.1315,2307300
26-Dec-97,49.452,50.6338,49.3898,50.6027,1069100
